track_name,track_pop,artist,artist_pop,album,length,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,song_name,artist_name,total_likes_count,number_of_videos,number_of_videos_last_14days
Мега-звезда,25,Maryana Ro,20,Мега-звезда,184607,0.857,0.745,4.0,-6.455,0.0,0.0771,0.0771,3.18e-05,0.32,0.622,119.076,0JoD2uUgMgBPpNm6e17UGg,184607.0,4.0,Марьяна Ро & FatCat - Мега-звезда,🕷🖤MaryanaRo🕸💖,4477326,358400,0
Throat Baby (Go Baby),52,BRS Kash,41,Throat Baby (Go Baby),218181,0.9,0.521,4.0,-7.286,0.0,0.147,0.0135,0.0,0.0951,0.213,132.007,31iqpzg1ZXLLgq0L5iIwLe,218182.0,4.0,BRS Kash – Throat Baby (Go Baby) [Official Music Video],BRS Kash,56482561,358200,-1750
Khalsana M3ako B Sheyaka,39,Samer Elmedany,32,Khalsana M3ako B Sheyaka,394968,0.968,0.591,10.0,-6.046,0.0,0.0486,0.147,0.0,0.0556,0.847,110.007,1IxQNacPrIEyWapyS7DYKB,394968.0,4.0,Khalsana M3ako B Sheyaka,Samer Elmedany,8248610,358100,-1050
Rockstar,72,Ilkay Sencan,58,Rockstar,212280,0.771,0.826,11.0,-3.978,1.0,0.0604,0.142,0.03,0.145,0.185,100.012,4OgwXdylh75fHfwUzJTUqg,212280.0,4.0,Ilkay Sencan & Dynoro - Rockstar | OVER DRIVE,Dynoro & Ilkay Sencan,4771870,357906,1478
Rain On Me,17,Lady Gaga,83,Pop Sin Límites,182202,0.673,0.859,9.0,-3.767,1.0,0.0417,0.019,0.0,0.325,0.627,123.059,1qZblIrT95XXtyQODKQM6R,182203.0,4.0,"Lady Gaga, Ariana Grande - Rain On Me (Official Music Video)",ladygaga & arianagrande,86192796,357850,-2300
New Soul,59,Yael Naim,48,Yael Naïm,225106,0.769,0.371,0.0,-8.522,1.0,0.0326,0.733,3.73e-05,0.106,0.653,100.001,476JcJ3TpAuCOlGdCmomGm,225107.0,4.0,Yael Naim - New Soul (Official Video),Yael Naim,165943449,357500,-296
Yellow Hearts,66,Ant Saunders,46,Yellow Hearts,223257,0.866,0.438,7.0,-8.943,1.0,0.0719,0.177,0.0,0.0743,0.695,129.039,2W4yABdLc4Jnds67Poi5Nl,223258.0,4.0,Ant Saunders - Yellow Hearts (Official Video),ant saunders,149554554,357200,-1656
Kabilang Buhay,63,Bandang Lapis,54,Kabilang Buhay,325024,0.371,0.352,1.0,-14.428,0.0,0.0308,0.251,5.91e-06,0.197,0.197,139.497,77ZSDMTho12I5g6p3tfzPG,325025.0,4.0,Kabilang Buhay - Bandang Lapis (Official Music Video),Bandang Lapis,39720858,356900,1080
Pa' Llamar Tu Atención (feat. MC Bin Laden),57,C. Tangana,71,Pa' Llamar Tu Atención (feat. MC Bin Laden),177613,0.884,0.738,5.0,-3.265,0.0,0.0837,0.188,0.0,0.0812,0.678,131.91,2vEY3cNwXYxIG4fPAoN14q,177614.0,4.0,C. Tangana - Pa' Llamar Tu Atención (Video Oficial) ft. MC Bin Laden,C. Tangana & Alizzz & MCBINLADEN,13424250,356602,-998
La Curiosidad,44,Jay Wheeler,74,De Mi Para Ti,219048,0.777,0.689,11.0,-4.773,0.0,0.17,0.277,0.000762,0.114,0.696,179.966,2m2EUNDxXmFceJpyPaSfmA,219048.0,4.0,Jay Wheeler - La Curiosidad ft. Myke Towers (Official Video),Jay Wheeler & Myke Towers,50977953,356600,1186
