,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,viral
81,0.812,0.502,8.0,-8.205,1.0,0.0988,0.0392,0.000186,0.14,0.4,79.021,0xbZ86ejZysyNM2V5BY0EI,233848.163,4.0,1
82,0.903,0.535,9.0,-6.434,1.0,0.0742,0.297,0.0,0.345,0.508,130.022,5SixeLvPsYpk7qq9lo5xYg,149133.061,4.0,1
83,0.712,0.568,5.0,-7.864,0.0,0.0546,0.0947,0.0,0.169,0.46,130.019,3Pj6u2KTgepyyidp5xfbHp,172538.776,4.0,1
84,0.533,0.175,0.0,-15.767,1.0,0.0365,0.607,1.88e-05,0.125,0.335,107.092,0Eko4AsGljvQQHb0T7cu1N,224600.81600000002,4.0,1
85,0.775,0.854,5.0,-2.006,0.0,0.0485,0.602,1.58e-05,0.0926,0.835,112.874,4579tN5YziF7pJOIYTD2NU,168489.796,4.0,1
87,0.921,0.718,4.0,-3.545,0.0,0.299,0.217,0.0,0.189,0.677,141.06,2Y3USTCETS4xbjJOzT1Icm,176587.75499999998,4.0,1
88,0.934,0.632,10.0,-7.484,0.0,0.404,0.0427,0.00485,0.103,0.531,140.125,2kefHjNepGePZG4WxH2Vh4,118726.53099999999,4.0,1
89,0.584,0.547,7.0,-8.502,0.0,0.382,0.655,1.64e-06,0.134,0.56,83.917,3RJE91O6eXupu5QjXIDHzM,161201.63299999997,4.0,1
90,0.738,0.621,0.0,-7.313,1.0,0.0486,0.424,7.39e-06,0.692,0.715,113.968,7aGyRfJWtLqgJaZoG9lJhE,137116.73500000002,4.0,1
91,0.926,0.557,1.0,-8.322,1.0,0.103,0.101,0.0165,0.0817,0.716,136.018,731vxZpBMap84vDSqyJjf0,143412.24500000002,4.0,1
92,0.698,0.684,0.0,-6.239,1.0,0.0972,0.374,0.0,0.434,0.526,89.926,1ZrpvgLUBHozH2PLbc4SrO,221962.449,4.0,1
93,0.576,0.478,4.0,-8.276,1.0,0.0261,0.498,5.68e-05,0.124,0.266,132.028,4U4h7WNNyvhpdaDgHSdD4j,241554.286,4.0,1
94,0.711,0.592,4.0,-7.136,0.0,0.23,0.758,0.0,0.156,0.535,124.749,6HlE9t71z9DjGi7KqSyEpA,141479.184,4.0,1
95,0.487,0.495,0.0,-9.084,0.0,0.0331,0.0116,8.11e-05,0.247,0.395,117.856,2DPPOz8DPmJbIMaQfj4841,271647.347,4.0,1
96,0.949,0.683,9.0,-4.242,1.0,0.0946,0.0199,0.0,0.171,0.887,130.012,7FdmHr87G79PDRGy9SPBkZ,185312.65300000002,4.0,1
97,0.712,0.799,7.0,-4.564,0.0,0.0703,0.0447,6.4e-05,0.37,0.591,83.996,5ArQzSBevAdXTxRY6Ulhbq,207151.02,4.0,1
98,0.801,0.558,1.0,-6.443,1.0,0.153,0.00873,9.51e-05,0.248,0.227,118.064,32ZGcotUVtU3Zfz9lmM8Mi,227474.286,4.0,1
99,0.395,0.443,6.0,-9.72,1.0,0.133,0.765,9.67e-06,0.0839,0.338,168.924,7tHQ1JOuSJiuVb42VdTWpT,176770.612,3.0,1
100,0.843,0.389,9.0,-7.664,0.0,0.036,0.032,5.25e-06,0.109,0.635,123.967,0bC7GKnxh9W9JIvJ6HVWxc,173426.939,4.0,1
101,0.813,0.733,4.0,-5.417,0.0,0.0847,0.15,0.00186,0.0909,0.397,91.988,6b9b4PlD4JfAIc9cLirGI7,191294.694,4.0,1
102,0.677,0.685,4.0,-5.643,0.0,0.0505,0.0739,0.0,0.107,0.177,91.008,3rchFjeKZ0bJxO7EEdM3S5,234266.122,4.0,1
103,0.567,0.67,5.0,-2.821,1.0,0.0328,0.316,0.25,0.0998,0.795,169.964,3UwPmHKemUJ1AFr90eFYuj,207333.878,5.0,1
104,0.748,0.347,7.0,-12.411,1.0,0.12,0.0953,0.00158,0.307,0.345,131.241,08DOtbSUcDJPxow2pKm95V,228414.694,3.0,1
105,0.953,0.458,6.0,-7.192,0.0,0.147,0.135,0.0,0.0873,0.766,116.001,00oWrQTc4y7TvvyoT2hpeB,187951.02,4.0,1
106,0.31,0.484,9.0,-6.463,1.0,0.0299,0.709,0.247,0.125,0.038,79.863,60mItLdFl6xkYc1sAjlZlf,268486.531,4.0,0
107,0.442,0.538,4.0,-8.55,0.0,0.0451,0.717,2.95e-05,0.09,0.139,122.758,7jtQIBanIiJOMS6RyCx6jZ,241632.653,4.0,1
108,0.815,0.848,4.0,-4.704,0.0,0.115,0.023,0.000162,0.0265,0.684,106.032,1uMHCAyGmHqyygoNRuo7MV,135209.796,4.0,1
109,0.745,0.561,9.0,-5.513,0.0,0.072,0.465,1.12e-06,0.0338,0.902,195.918,5YLHLxoZsodDWjqSgjhBf3,168228.571,4.0,1
110,0.863,0.348,3.0,-17.432,0.0,0.515,0.144,0.0,0.11,0.899,130.117,6f7jHMkHBJ9HVat7wjfkOr,103680.0,4.0,1
111,0.83,0.49,1.0,-8.82,0.0,0.209,0.289,3.04e-06,0.113,0.845,81.604,466cKvZn1j45IpxDdYZqdA,246987.755,4.0,1
112,0.792,0.583,8.0,-8.305,0.0,0.027,0.023,0.582,0.0809,0.54,102.979,2H7F7EfsVhy0jNLsVz8MLH,209920.0,4.0,1
113,0.858,0.565,0.0,-13.611,1.0,0.128,0.279,0.0,0.347,0.94,133.005,3WpMpcM3rW6iVZcaxz5ohq,166974.694,4.0,1
114,0.813,0.657,0.0,-6.447,1.0,0.0372,0.00269,0.0,0.183,0.651,110.053,6tCd8bPvYnceDG7W9M1RMk,176169.796,3.0,1
116,0.356,0.455,9.0,-4.878,1.0,0.0386,0.845,0.0,0.694,0.304,176.399,4bKCN5SqLFIAqfP3cRMtuL,232777.14299999998,4.0,1
117,0.924,0.723,8.0,-3.142,1.0,0.0466,0.0177,2.61e-05,0.113,0.643,126.998,2M9bdvBDhGXwcnyijdzRo0,131395.918,4.0,1
118,0.801,0.947,11.0,-4.624,0.0,0.0387,0.0118,0.427,0.0248,0.968,138.489,65OXGbKBQ8gUyJvUd0jNpf,207098.77599999998,4.0,1
119,0.72,0.412,11.0,-8.687,0.0,0.223,0.196,0.0,0.342,0.179,114.408,5InOp6q2vvx0fShv3bzFLZ,237244.082,4.0,1
