artist,title,album,length,popularity,id
Emmy Meli,I AM WOMAN,I AM WOMAN,232813,74,3nOz1U41SZZ0N3fuUWr9nb
Boostereo,Dark Side,Dark Side,170322,48,1SW4DLVcfj3Q6pwHw555OM
Calvin Harris,One Kiss (with Dua Lipa),One Kiss (with Dua Lipa),214846,89,7ef4DlsgrMEH11cDZd32M6
Dirty Heads,Vacation,Vacation,209721,68,7cdy4PbCdDZZNjyxoZyE0c
Will Ryte,Wet,Wet,113548,39,6DGNFyds4RkJKwa6z9Tt2e
Doja Cat,Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),208866,81,748mdHapucXQri7IAO8yFK
Future,Mask Off,FUTURE,204600,85,0VgkVdmE4gld66l8iyGjgx
Måneskin,Beggin',Chosen,211560,87,3Wrjm47oTz2sjIgck11l5e
Olivia Rodrigo,good 4 u,SOUR,178146,89,4ZtFanR9U6ndgddUvNcjcG
Zombic,Heart's Not Moving On,Heart's Not Moving On,168981,52,6Rkn9Omfz1B2yWGwODazbc
Jaymes Young,Infinity,Feel Something (Deluxe),237720,52,1TLwVV7m4TFZJrsG9qGVXh
Tesher,Jalebi Baby (Tesher x Jason Derulo),Jalebi Baby (Tesher x Jason Derulo),169154,74,6FvSS3Goz7OC8oCC2eWqe8
Will Ryte,Guarded,Guarded,100392,38,1e0tRVTB2K7bN7AvPdN6p5
Madonna,Frozen,Frozen,120157,73,6lknMmJZALXxx7emwwZWLX
Bruno Mars,Talking to the Moon,Doo-Wops & Hooligans,217866,79,1wVuPmvt6AWvTL5W2GJnzZ
Masked Wolf,Astronaut In The Ocean,Astronaut In The Ocean,132780,79,3Ofmpyhv5UAQ70mENzB277
NEIKED,Better Days (NEIKED x Mae Muller x Polo G),Better Days (NEIKED x Mae Muller x Polo G),160656,81,6f5ExP43esnvdKPddwKXJH
Erica Banks,Buss It,Buss It,188734,0,6NWdgyVsjp2bJ11PToXCr1
Kordhell,Murder In My Mind,Murder In My Mind,145000,89,6qyS9qBy0mEk3qYaH8mPss
Kate Bush,Running Up That Hill (A Deal With God),Hounds Of Love,298933,40,75FEaRjZTKLhTrFGsfMUXR
J. Cole,She Knows (feat. Amber Coffman & Cults),Born Sinner (Deluxe Version),296520,81,0Fs9cdPDhptWEDJmiCbkEW
Amero,Good Time,Good Time,117966,37,4orTckxpGQ1Qd7tnqmuXjw
BAYZY,Would I Lie To You,Would I Lie To You,129756,57,3GHHMFQzeuStWfG45ee3FA
Adele,Easy On Me,30,224694,85,46IZ0fSY2mpAiktS3KOqds
Jt5k,Switch Up,So Far From Home,105324,38,2zy0hweEndWyds17TTqBkt
Skrillex,Rumble,Rumble,146571,74,1GfBLbAhZUWdseuDqhocmn
Dtrch,Cinema,Cinema,140631,37,5WV5NQAeFfPfvBZKRkyRjJ
Wheatus,Teenage Dirtbag,Wheatus,241666,77,25FTMokYEbEWHEdss5JLZS
Doja Cat,Need to Know,Planet Her,210560,83,3Vi5XqYrmQgOYBajMWSvCi
NEMESIS,Ghost,Ghost,142062,37,7kS3K7q8XJDPS9X7iXlr08
Joakim Molitor,Hurts Like Hell,Hurts Like Hell,195775,46,6D5UZC67k5Em3z2UfMNqxG
LISA,MONEY,LALISA,168227,83,7hU3IHwjX150XLoTVmjD0q
Surf Curse,Freaks,Freaks,147062,87,7EkWXAI1wn8Ii883ecd9xr
The Weeknd,Blinding Lights,After Hours,200040,93,0VjIjW4GlUZAMYd2vXMi3b
Megan Thee Stallion,Thot Shit,Thot Shit,184634,71,5zNW5ARjYhJQJz1AChP33n
Alex Alexander,When Hello Means Goodbye,On My Way,158160,47,5TiaU2Q2JZQzO59aV8vtcP
MWH,Habits (Stay High),Habits (Stay High),158100,37,27Qtzs2v2kueAqOtwjyLE0
Maroon 5,Beautiful Mistakes (feat. Megan Thee Stallion),JORDI (Deluxe),227395,82,5zFglKYiknIxks8geR8rcL
