track_name,track_pop,artist,artist_pop,album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,artist_name,total_likes_count,number_of_videos,chroma_stft,rmse,spec_cent,spec_bw,rolloff,zcr,mfcc
Transgender,67,Crystal Castles,68,(III),0.522,0.914,7.0,-8.285,1.0,0.0379,0.000164,0.847,0.24,0.0364,137.939,26ZzSLUJMmYp5u1hDELEWH,184760.0,3.0,Crystal Castles,188073386,215700,0.4082065522670746,0.193418949842453,1129.1163655495452,1586.2983559644465,2181.4368091500583,0.049139914497871515,4.662922382354736
We Not Humping - Remix,64,Monaleo,51,We Not Humping (Remix),0.971,0.851,11.0,-5.586,0.0,0.269,0.0344,0.0,0.092,0.81,120.008,4ue41gFbAjoU0P1EberJWm,143325.0,4.0,Flomilli & Monaleo,187883494,430800,0.46716633439064026,0.2770257592201233,2703.850600884053,2765.2753373055234,5903.401802936944,0.10358289594620743,2.8363375663757324
GOOBA,3,6ix9ine,71,GOOBA,0.611,0.688,1.0,-5.688,1.0,0.341,0.0264,0.0,0.251,0.393,178.462,4NhDYoQTYCdWHTvlbGVgwo,132303.0,4.0,6ix9ine,187592280,2267800,0.4516645669937134,0.33712372183799744,2307.485893330727,2669.8640913586228,5301.280443882425,0.06907365639512383,6.5955810546875
High Fashion (feat. Mustard),73,Roddy Ricch,76,Please Excuse Me for Being Antisocial,0.831,0.499,11.0,-8.442,0.0,0.114,0.269,0.0,0.3,0.511,97.956,07KXEDMj78x68D884wgVEm,220487.0,4.0,Roddy Ricch,187416993,2300000,0.3536003530025482,0.13345344364643097,2270.152918611172,1981.2331916114154,4152.674889343073,0.1281798749516254,-8.390702247619629
Get Low,41,Dillon Francis,63,Get Low (Remixes),0.67,0.933,11.0,-4.482,0.0,0.0871,0.0271,0.723,0.596,0.751,101.015,0r8jyNzQuy5kbD0Y3II9FU,213861.0,4.0,DJ Snake & Dillon Francis,187302710,3700000,0.47368377447128296,0.14837037026882172,1946.0349499149127,1825.8591288701407,3765.9897275753433,0.09882366546536378,-0.3674721121788025
3 Musketeers,64,NextYoungin,42,3 Musketeers,0.91,0.617,0.0,-10.234,1.0,0.0847,0.258,0.0,0.122,0.572,104.972,57Oi4yqY27uJzCyqFWIP5q,166857.0,4.0,trap 💋 & baddie kaine,187253534,417900,0.3998821973800659,0.1211177259683609,2837.546634236361,2440.2640278046933,5564.228853869365,0.13335066756965944,-3.537081241607666
DESPECHÁ,84,ROSALÍA,82,DESPECHÁ,0.919,0.623,7.0,-6.521,1.0,0.0992,0.184,1.63e-05,0.0609,0.775,130.037,5ildQOEKmJuWGl2vRkFdYc,157018.0,4.0,La Rosalia,187216949,614526,0.2862469255924225,0.25118738412857056,2393.436847181366,2429.9721096959606,4911.457801086614,0.09579477221604102,0.12577782571315765
Na Rebolada,62,Os Quebradeiras,55,Na Rebolada,0.919,0.768,0.0,-4.269,1.0,0.388,0.454,0.000163,0.134,0.933,140.144,7v3BTjWrmUYjaGiVHVVhCK,111968.0,4.0,Quebradeiras & machadez & DJ Zullu,187093034,1400000,0.44987115263938904,0.09846879541873932,2374.9836684413904,2324.476532603832,4836.4540879571405,0.11418354991050697,-5.454631328582764
Kill Bill,90,SZA,86,SOS,0.644,0.728,8.0,-5.75,1.0,0.0351,0.0543,0.169,0.161,0.43,88.993,3OHfY25tqY28d16oZczHc8,153947.0,4.0,SZA,187021409,232700,0.3513258695602417,0.2826283872127533,1611.6875099949414,1794.547867636484,3272.588544438129,0.0642926951310952,0.8510715961456299
Funny Thing,77,Thundercat,70,It Is What It Is,0.586,0.893,7.0,-8.772,1.0,0.439,0.827,0.642,0.212,0.65,140.023,1c5CllrZr45UBhWpIqM332,116630.0,3.0,Thundercat,187018592,178450,0.4475436210632324,0.31234613060951233,1497.9481153313418,2157.6086050407994,3173.89747454286,0.05407506984084752,3.685835838317871
