track_name,track_pop,artist,artist_pop,album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,artist_name,total_likes_count,number_of_videos,chroma_stft,rmse,spec_cent,spec_bw,rolloff,zcr,mfcc
Bad Habit,84,Steve Lacy,79,Bad Habit,0.686,0.507,1.0,-7.097,1.0,0.0357,0.626,7.51e-05,0.383,0.69,168.955,5CM4UuQ9Gnd6K2YyKGPMoK,232115.0,4.0,steve lacy,291690436,614570,0.3982977569103241,0.2956889569759369,1723.3717819472763,2119.19743574388,3510.5454388786766,0.0702225534539473,2.728724956512451
TKN (feat. Travis Scott),74,ROSALÍA,82,TKN (feat. Travis Scott),0.776,0.509,0.0,-6.266,0.0,0.467,0.192,1.49e-06,0.115,0.485,94.634,4w47S36wQGBhGg073q3nt7,129371.0,4.0,La Rosalia,290763470,1700000,0.2788857519626617,0.1162847876548767,2326.067381688012,2313.9989758255133,4669.713429548423,0.1053667098006966,-8.200581550598145
Happier Than Ever,52,Billie Eilish,87,Happier Than Ever,0.314,0.238,0.0,-8.802,1.0,0.0389,0.741,0.00193,0.128,0.303,72.535,0gLXF5LtNkqDoeVVGjCsEu,298899.0,3.0,BILLIE EILISH,290747621,236200,0.229571908712387,0.1110885217785835,851.563460230357,1184.8394829903714,1342.7168807747194,0.0390904665731424,-14.023618698120115
I Think I Like When It Rains,23,WILLIS,54,Locals 2,0.622,0.471,9.0,-7.105,1.0,0.0277,0.0448,0.0,0.0957,0.278,124.455,5S5u0EWtlblH00iTNExZ6X,278293.0,4.0,WILLIS,289967860,1800000,0.3280269503593445,0.1159836128354072,1815.57983214082,2186.803226565236,3909.626359024284,0.0671190196884675,-0.1177830919623375
Un Poco Loco Sped Up - Remix,42,Xanemusic,63,Un Poco Loco Sped Up (Remix),0.604,0.39,4.0,-11.322,1.0,0.0989,0.598,3.05e-05,0.196,0.697,80.706,3g7AoGMRq0HgVPEYc8dDIY,77358.0,4.0,Anthony Gonzalez & Gael García Bernal,289236893,473474,0.2880622446537018,0.0841311067342758,1832.9447716366265,1989.9503322976648,3731.469102983504,0.0847462751547987,-7.5163421630859375
Mercenaries From The UFO,14,Elizabeth Saucedo,1,Mercenaries From The UFO,0.54,0.567,3.0,-10.518,1.0,0.0256,0.00106,0.775,0.211,0.452,97.983,4ElUSsOPtLMTaGiKHolCnF,110237.0,4.0,Audiostock,288187225,246900,0.3605561554431915,0.0246013347059488,921.1382424152206,1193.5562309390546,1782.5225546633128,0.0464146853231424,-12.749296188354492
Trap,0,Epic Yoga,17,Epic Oceans,0.08,1.0,1.0,-6.187,1.0,0.089,0.68,0.546,0.94,0.000201,169.05,5MTOiL5yihzetTSYExlcoI,73953.0,1.0,Draganov89,287965318,1757136,0.4070352613925934,0.1410493850708007,1131.4529958772646,1304.2729978750183,2173.9368545012576,0.0482408269640092,0.5859556198120117
masquerade,2,Siouxxie,5,Cool Rap Mix,0.608,0.792,9.0,-5.721,1.0,0.0355,0.000674,0.653,0.252,0.611,161.104,4BEW3ai4S2Fhxr7zwNkVMu,144536.0,4.0,siouxxie sixxsta,287778194,772626,0.5298521518707275,0.2928965091705322,2504.9632776025005,2601.1280807963176,5608.691085012336,0.0983501233552631,-0.7579004764556885
You Are Enough,76,Sleeping At Last,67,Atlas: I,0.593,0.5,1.0,-8.532,1.0,0.029,0.707,1.24e-05,0.0837,0.465,117.996,1Wdj4wRDYS7aT4CoPS0mAH,180087.0,4.0,Sleeping At Last,287265025,420200,0.2349530458450317,0.0473593138158321,1578.981883009687,1720.0128376359653,3111.3478527718653,0.0758033965025154,-14.6444673538208
FULANITO,70,Becky G,78,ESQUEMAS,0.938,0.832,7.0,-4.613,0.0,0.195,0.22,1.31e-06,0.121,0.832,111.928,3CIl8hlnMcULSIIhUMmB1Z,158440.0,4.0,Becky G & ELALFAELJEFERD,286807261,924560,0.2856935560703277,0.1531733870506286,2258.649347465245,2202.4587311495857,4375.698540749565,0.104348575367647,-9.755366325378418
